ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
resGSHeatPump,Northeast,PJ/y,0.099465278,0.065647083,0.032823542,0.009946528,0,0,0,0
resASHeatPump_solarT,Northeast,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,Northeast,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,Northeast,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,Northeast,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,Northeast,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,Northeast,PJ/y,0.497326389,0.328235417,0.164117708,0.049732639,0,0,0,0
resCHPBiomass,Northeast,PJ/y,0.071046627,0.046890774,0.023445387,0.007104663,0,0,0,0
resMicroCHPNG,Northeast,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,Northeast,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen,Northeast,PJ/y,0,0,0,0,0,0,0,0
resBoilerHydrogen_solarT,Northeast,PJ/y,0,0,0,0,0,0,0,0
resBoilerLPG,Northeast,PJ/y,0.284186508,0.187563095,0.093781548,0.028418651,0,0,0,0
resCHPFuelCellHdg,Northeast,PJ/y,0,0,0,0,0,0,0,0
resCHPHydrogen,Northeast,PJ/y,0,0,0,0,0,0,0,0
resCookingHydrogen,Northeast,PJ/y,0,0,0,0,0,0,0,0
resCookingLPG,Northeast,PJ/y,0.011746003,0.007752362,0.003876181,0.0011746,0,0,0,0
resMicroCHPHydrogen,Northeast,PJ/y,0,0,0,0,0,0,0,0
resLightingEnergySaving,Northwest,PJ/y,6.707381188,4.426871584,2.213435792,0.670738119,0,0,0,0
resLightingCon,Northwest,PJ/y,2.555192833,1.68642727,0.843213635,0.255519283,0,0,0,0
resLightingLED,Northwest,PJ/y,6.707381188,4.426871584,2.213435792,0.670738119,0,0,0,0
resAppliancesCon,Northwest,PJ/y,7.369579922,4.863922748,2.431961374,0.736957992,0,0,0,0
resAppliancesAdv,Northwest,PJ/y,0,0,0,0,0,0,0,0
resCookingElec,Northwest,PJ/y,0.03378034,0.022295024,0.011147512,0.003378034,0,0,0,0
resCookingNG,Northwest,PJ/y,0.000112601,7.43E-05,3.72E-05,1.13E-05,0,0,0,0
