ProcessName,RegionName,Unit,2020,2025,2030,2035,2040,2045,2050,2055
resBoilerBiomass_solarT,Northwest,PJ/y,0,0,0,0,0,0,0,0
resBoilerElectriciy_solarT,Northwest,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG,Northwest,PJ/y,0,0,0,0,0,0,0,0
resBoilerNG_solarT,Northwest,PJ/y,0,0,0,0,0,0,0,0
resCHPBiomass,Northwest,PJ/y,0,0,0,0,0,0,0,0
resCHPNG,Northwest,PJ/y,0,0,0,0,0,0,0,0
resCookingBiomass,Northwest,PJ/y,0,0,0,0,0,0,0,0
resCookingCoal,Northwest,PJ/y,0,0,0,0,0,0,0,0
resCookingKerosene,Northwest,PJ/y,0,0,0,0,0,0,0,0
resCookingNG,Northwest,PJ/y,0,0,0,0,0,0,0,0
resDHBiomass,Northwest,PJ/y,0,0,0,0,0,0,0,0
resDHHeatPump,Northwest,PJ/y,0,0,0,0,0,0,0,0
resDHNG,Northwest,PJ/y,0,0,0,0,0,0,0,0
resDHSolarWater,Northwest,PJ/y,0,0,0,0,0,0,0,0
resDHThermalStorage,Northwest,PJ/y,0,0,0,0,0,0,0,0
resDHWasteHeatOfftake,Northwest,PJ/y,0,0,0,0,0,0,0,0
resElectricNightStorage,Northwest,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA,Northwest,PJ/y,0,0,0,0,0,0,0,0
resElectricResSA_storage,Northwest,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump,Northwest,PJ/y,0,0,0,0,0,0,0,0
resGSHeatPump_solarT,Northwest,PJ/y,0,0,0,0,0,0,0,0
resHWaterBiomass,Northwest,PJ/y,0,0,0,0,0,0,0,0
resHWaterNG,Northwest,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPBiomass,Northwest,PJ/y,0,0,0,0,0,0,0,0
resMicroCHPNG,Northwest,PJ/y,0,0,0,0,0,0,0,0
resNGSA,Northwest,PJ/y,0,0,0,0,0,0,0,0
resAppliancesAdv,Northwest,PJ/y,0,0,0,0,0,0,0,0
