year,dst_region,asset,region,technology,installed,capacity
2030,Peninsular,88,Peninsular,OC_GAS,2020,3.14920000000
2030,Peninsular,89,Peninsular,OC_OIL,2020,2.82120000000
2030,Peninsular,90,Peninsular,ON_WIND,2020,882.87340000000
2030,Peninsular,91,Peninsular,ON_WIND,2025,877.12820000000
2030,Peninsular,92,Peninsular,PV_GND,2020,3.41980000000
2030,Peninsular,93,Peninsular,PV_GND,2025,972.88900000000
2030,Peninsular,94,Peninsular,PV_SSG,2020,8.48610000000
2035,Central,12,BajaCalifSouth,OC_GAS,2025,709.24460000000
2035,Central,18,Central,BIO,2020,2.29140000000
2035,Central,20,Central,CC_GAS,2020,77.11810000000
2035,Central,23,Central,HYD_LS,2020,18.85220000000
2035,Central,24,Central,OC_GAS,2020,23.39400000000
2035,Central,25,Central,OC_OIL,2020,0.54180000000
2035,Central,26,Central,ON_WIND,2020,0.41690000000
2035,Central,27,Central,PV_GND,2020,1.34600000000
2035,Central,28,Central,PV_SSG,2020,15.16090000000
2035,Central,98,Western,CC_GAS,2025,1000.00000000000
2035,Eastern,6,BajaCalif,ON_WIND,2025,1497.96000000000
2035,Eastern,15,BajaCalifSouth,ON_WIND,2025,742.92200000000
2035,Eastern,21,Central,CC_GAS,2025,885.01370000000
2035,Eastern,29,Eastern,BIO,2020,15.18460000000
2035,Eastern,31,Eastern,CC_GAS,2020,97.26770000000
2035,Eastern,37,Eastern,CSP,2020,154.93640000000
2035,Eastern,41,Eastern,HYD_LS,2020,82.48560000000
2035,Eastern,42,Eastern,NUCL,2020,103.05960000000
2035,Eastern,43,Eastern,OC_GAS,2020,20.17990000000
2035,Eastern,44,Eastern,OC_OIL,2020,0.94990000000
2035,Eastern,45,Eastern,ON_WIND,2020,167.41960000000
2035,Eastern,47,Eastern,PV_GND,2020,27.80210000000
2035,Eastern,48,Eastern,PV_SSG,2020,9.75950000000
2035,Western,21,Central,CC_GAS,2025,984.83910000000
2035,Western,32,Eastern,CC_GAS,2025,1000.00000000000
2035,Western,95,Western,BIO,2020,7.39460000000
2035,Western,97,Western,CC_GAS,2020,157.42960000000
2035,Western,104,Western,GEOTH,2020,3.27970000000
2035,Western,105,Western,HYD_LS,2020,177.25940000000
2035,Western,107,Western,OC_GAS,2020,32.38430000000
2035,Western,108,Western,OC_OIL,2020,0.81680000000
2035,Western,109,Western,ON_WIND,2020,41.85330000000
2035,Western,110,Western,PV_GND,2020,143.01770000000
2035,Western,111,Western,PV_SSG,2020,48.69910000000
2035,Northwest,74,Northwest,CC_GAS,2020,241.42070000000
2035,Northwest,78,Northwest,HYD_LS,2020,38.72620000000
2035,Northwest,81,Northwest,OC_OIL,2020,2.32740000000
2035,Northwest,82,Northwest,ON_WIND,2020,0.12610000000
2035,Northwest,83,Northwest,PV_GND,2020,75.41140000000
2035,Northwest,84,Northwest,PV_SSG,2020,9.29660000000
